server_name,tool_name,parameter_name,schema_type,parent_element_name,parent_element_path,child_element_name,element_path,datatype,element_element_description
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,geo,filter.geo,latitude,filter.geo.latitude,Number,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,geo,filter.geo,longitude,filter.geo.longitude,Number,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,geo,filter.geo,radius,filter.geo.radius,Number,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,geo,filter.geo,unit,filter.geo.unit,String,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,filter,Input,geo,filter.geo,latitude,filter.geo.latitude,Number,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,filter,Input,geo,filter.geo,longitude,filter.geo.longitude,Number,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,filter,Input,geo,filter.geo,radius,filter.geo.radius,Number,
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,filter,Input,geo,filter.geo,unit,filter.geo.unit,String,
notion,notion_API-patch-block-children,children,Input,paragraph,children.paragraph,rich_text,children.paragraph.rich_text,Array,
notion,notion_API-patch-block-children,children,Input,rich_text,children.paragraph.rich_text,text,children.paragraph.rich_text.text,Object,
notion,notion_API-patch-block-children,children,Input,text,children.paragraph.rich_text.text,content,children.paragraph.rich_text.text.content,String,
notion,notion_API-patch-block-children,children,Input,text,children.paragraph.rich_text.text,link,children.paragraph.rich_text.text.link,Object,
notion,notion_API-patch-block-children,children,Input,rich_text,children.paragraph.rich_text,type,children.paragraph.rich_text.type,String,
notion,notion_API-patch-block-children,children,Input,bulleted_list_item,children.bulleted_list_item,rich_text,children.bulleted_list_item.rich_text,Array,
notion,notion_API-patch-block-children,children,Input,rich_text,children.bulleted_list_item.rich_text,text,children.bulleted_list_item.rich_text.text,Object,
notion,notion_API-patch-block-children,children,Input,text,children.bulleted_list_item.rich_text.text,content,children.bulleted_list_item.rich_text.text.content,String,
notion,notion_API-patch-block-children,children,Input,text,children.bulleted_list_item.rich_text.text,link,children.bulleted_list_item.rich_text.text.link,Object,
notion,notion_API-patch-block-children,children,Input,rich_text,children.bulleted_list_item.rich_text,type,children.bulleted_list_item.rich_text.type,String,
notion,notion_API-patch-page,properties,Input,title,properties.title,text,properties.title.text,Object,
notion,notion_API-patch-page,properties,Input,text,properties.title.text,content,properties.title.text.content,String,
notion,notion_API-patch-page,properties,Input,text,properties.title.text,link,properties.title.text.link,Object,
notion,notion_API-patch-page,properties,Input,title,properties.title,type,properties.title.type,String,
notion,notion_API-patch-page,cover,Input,external,cover.external,url,cover.external.url,String,
notion,notion_API-post-page,properties,Input,title,properties.title,text,properties.title.text,Object,
notion,notion_API-post-page,properties,Input,text,properties.title.text,content,properties.title.text.content,String,
notion,notion_API-create-a-database,title,Input,text,title.text,content,title.text.content,String,
notion,notion_API-create-a-database,title,Input,text,title.text,link,title.text.link,Object,
notion,notion_API-update-a-database,description,Input,text,description.text,content,description.text.content,String,
notion,notion_API-update-a-database,description,Input,text,description.text,link,description.text.link,Object,
notion,notion_API-update-a-database,title,Input,text,title.text,content,title.text.content,String,
notion,notion_API-update-a-database,title,Input,text,title.text,link,title.text.link,Object,
notion,notion_API-create-a-comment,rich_text,Input,text,rich_text.text,content,rich_text.text.content,String,The content of the comment
