server_name,tool_name,tool_description,parameter_name,schema_type,datatype,parameter_description,is_required
twelvedata,twelvedata_GetProfile,Returns general information about the company.,address2,Output,String,Secondary address of the company if presented,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,city,Output,String,City of the company if presented,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,country,Output,String,Country of the company if presented,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,description,Output,String,Description of the company activities,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,employees,Output,String,Number of employees in the company,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,exchange,Output,String,Exchange name where the company is listed,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,industry,Output,String,Industry at which company operates,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,mic_code,Output,String,Market Identifier Code (MIC) under ISO 10383 standard,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,name,Output,String,Name of the company,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,phone,Output,String,Phone number of the company if presented,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,sector,Output,String,Sector at which the company operates,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,state,Output,String,State of the company if presented,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,symbol,Output,String,Ticker of the company,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,type,Output,String,Issue type of the stock,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,website,Output,String,Website of the company,Optional
twelvedata,twelvedata_GetProfile,Returns general information about the company.,zip,Output,String,ZIP code of the company if presented,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,average_volume,Output,String,Average volume of the specified period,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,change,Output,String,Close - previous_close,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,close,Output,String,Close price at the end of the bar,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,currency,Output,String,Currency in which the equity is denominated,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,datetime,Output,String,Datetime in defined timezone referring to when the bar with specified interval was opened,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,exchange,Output,String,Exchange where instrument is traded,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,extended_change,Output,String,Diff between the regular close price and the latest extended price,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,extended_percent_change,Output,String,Percent change in price between the regular close price and the latest extended price,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,extended_price,Output,String,Latest extended price,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,extended_timestamp,Output,String,Unix timestamp of the last extended price,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,fifty_two_week,Output,String,,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,high,Output,String,Highest price which occurred during the current bar,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,is_market_open,Output,String,True if market is open; false if closed,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,last_quote_at,Output,String,Unix timestamp of last minute candle,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,low,Output,String,Lowest price which occurred during the current bar,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,mic_code,Output,String,Market identifier code (MIC) under ISO 10383 standard,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,name,Output,String,Name of the instrument,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,open,Output,String,Price at the opening of current bar,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,percent_change,Output,String,(Close - previous_close) / previous_close * 100,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,previous_close,Output,String,Close price at the end of the previous bar,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,rolling_1day_change,Output,String,"Percent change in price between the current and the backward one, where period is 1 day, available for crypto",Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,rolling_7day_change,Output,String,"Percent change in price between the current and the backward one, where period is 7 days, available for crypto",Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,rolling_period_change,Output,String,"Percent change in price between the current and the backward one, where period specified in request param rolling_period, available for crypto",Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,symbol,Output,String,Symbol passed,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,timestamp,Output,String,Unix timestamp representing the opening candle of the specified interval,Optional
twelvedata,twelvedata_GetQuote,Quote endpoint is an efficient method to retrieve the latest quote of the selected instrument.,volume,Output,String,Trading volume during the bar,Optional
twelvedata,twelvedata_GetSplits,Returns the date and the split factor of shares of the company for the last 10+ years.,meta,Output,String,,Optional
twelvedata,twelvedata_GetSplits,Returns the date and the split factor of shares of the company for the last 10+ years.,splits,Output,String,List of stock splits,Optional
twelvedata,twelvedata_GetStatistics,Returns current overview of company’s main statistics including valuation metrics and financials.,meta,Output,String,,Optional
twelvedata,twelvedata_GetStatistics,Returns current overview of company’s main statistics including valuation metrics and financials.,statistics,Output,String,,Optional
twelvedata,twelvedata_GetStocks,This API call returns an array of symbols available at Twelve Data API. This list is updated daily.,data,Output,String,List of stock instruments,Optional
twelvedata,twelvedata_GetStocks,This API call returns an array of symbols available at Twelve Data API. This list is updated daily.,status,Output,String,Response status,Optional
twelvedata,twelvedata_GetSymbolSearch,"This method helps to find the best matching symbol. It can be used as the base for custom lookups. The response is returned in descending order, with the most relevant instrument at the beginning.",data,Output,String,List of symbols matching the search criteria,Optional
twelvedata,twelvedata_GetSymbolSearch,"This method helps to find the best matching symbol. It can be used as the base for custom lookups. The response is returned in descending order, with the most relevant instrument at the beginning.",status,Output,String,Status of the response,Optional
twelvedata,twelvedata_GetTechnicalIndicators,This API call returns an array of objects with available technical indicators. This endpoint might be used to build an abstract interface to make more convenient API calls from the application.,data,Output,String,Map of technical indicators available at Twelve Data API,Optional
twelvedata,twelvedata_GetTechnicalIndicators,This API call returns an array of objects with available technical indicators. This endpoint might be used to build an abstract interface to make more convenient API calls from the application.,status,Output,String,Response status,Optional
twelvedata,twelvedata_GetTimeSeries,"This API call returns meta and time series for the requested instrument. Metaobject consists of general information about the requested symbol. Time series is the array of objects ordered by time descending with Open, High, Low, Close prices. Non-currency instruments also include volume information.",meta,Output,String,,Optional
twelvedata,twelvedata_GetTimeSeries,"This API call returns meta and time series for the requested instrument. Metaobject consists of general information about the requested symbol. Time series is the array of objects ordered by time descending with Open, High, Low, Close prices. Non-currency instruments also include volume information.",status,Output,String,Response status,Optional
twelvedata,twelvedata_GetTimeSeries,"This API call returns meta and time series for the requested instrument. Metaobject consists of general information about the requested symbol. Time series is the array of objects ordered by time descending with Open, High, Low, Close prices. Non-currency instruments also include volume information.",values,Output,String,List of time series data points,Optional
twelvedata,twelvedata_GetTimeSeriesAdx,"The Average Directional Index (ADX) measures the strength of a trend, regardless of direction, helping traders determine if a market is trending or ranging.",meta,Output,String,,Optional
twelvedata,twelvedata_GetTimeSeriesAdx,"The Average Directional Index (ADX) measures the strength of a trend, regardless of direction, helping traders determine if a market is trending or ranging.",status,Output,String,Response status,Optional
twelvedata,twelvedata_GetTimeSeriesAdx,"The Average Directional Index (ADX) measures the strength of a trend, regardless of direction, helping traders determine if a market is trending or ranging.",values,Output,String,Array of time series data points,Optional
