server_name,tool_name,parameter_name,schema_type,element_name,element_path,datatype,element_description
airtable,airtable_create_table,fields,Input,name,fields.name,String,Name of the field
airtable,airtable_create_table,fields,Input,type,fields.type,String,"Type of the field (e.g., singleLineText, multilineText, number, etc.)"
airtable,airtable_create_table,fields,Input,description,fields.description,String,Description of the field
airtable,airtable_create_table,fields,Input,options,fields.options,Object,Field-specific options
airtable,airtable_create_field,field,Input,name,field.name,String,Name of the field
airtable,airtable_create_field,field,Input,type,field.type,String,Type of the field
airtable,airtable_create_field,field,Input,description,field.description,String,Description of the field
airtable,airtable_create_field,field,Input,options,field.options,Object,Field-specific options
airtable,airtable_update_field,updates,Input,name,updates.name,String,New name for the field
airtable,airtable_update_field,updates,Input,description,updates.description,String,New description for the field
airtable,airtable_update_field,updates,Input,options,updates.options,Object,New field-specific options
alchemy,alchemy_fetchTokenPriceByAddress,addresses,Input,address,addresses.address,String,"The token contract address to query. e.g. ""0x1234567890123456789012345678901234567890"""
alchemy,alchemy_fetchTokenPriceByAddress,addresses,Input,network,addresses.network,String,"The blockchain network to query. e.g. ""eth-mainnet"" or ""base-mainnet"""
alchemy,alchemy_fetchTokensOwnedByMultichainAddresses,addresses,Input,address,addresses.address,String,"The wallet address to query. e.g. ""0x1234567890123456789012345678901234567890"""
alchemy,alchemy_fetchTokensOwnedByMultichainAddresses,addresses,Input,networks,addresses.networks,Array,"The blockchain networks to query. e.g. [""eth-mainnet"", ""base-mainnet""]"
alchemy,alchemy_fetchAddressTransactionHistory,addresses,Input,address,addresses.address,String,"The wallet address to query. e.g. ""0x1234567890123456789012345678901234567890"""
alchemy,alchemy_fetchAddressTransactionHistory,addresses,Input,networks,addresses.networks,Array,"The blockchain networks to query. e.g. [""eth-mainnet"", ""base-mainnet""]"
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,addresses,Input,address,addresses.address,String,"The wallet address to query. e.g. ""0x1234567890123456789012345678901234567890"""
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,addresses,Input,networks,addresses.networks,Array,"The blockchain networks to query. e.g. [""eth-mainnet"", ""base-mainnet""]"
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,addresses,Input,excludeFilters,addresses.excludeFilters,Array,"The filters to exclude from the results. e.g. [""SPAM"", ""AIRDROPS""]"
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,addresses,Input,includeFilters,addresses.includeFilters,Array,"The filters to include in the results. e.g. [""SPAM"", ""AIRDROPS""]"
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,addresses,Input,spamConfidenceLevel,addresses.spamConfidenceLevel,String,"The spam confidence level to query. e.g. ""LOW"" or ""HIGH"""
alchemy,alchemy_fetchNftContractDataByMultichainAddress,addresses,Input,address,addresses.address,String,"The wallet address to query. e.g. ""0x1234567890123456789012345678901234567890"""
alchemy,alchemy_fetchNftContractDataByMultichainAddress,addresses,Input,networks,addresses.networks,Array,"The blockchain networks to query. e.g. [""eth-mainnet"", ""base-mainnet""]"
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,cond,query.cond,String,Search for conditions or diseases.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,term,query.term,String,"Search for other terms like interventions, outcomes, or sponsors."
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,locn,query.locn,String,Search for study locations.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,titles,query.titles,String,Search within study titles or acronyms.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,intr,query.intr,String,Search for specific interventions or treatments.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,outc,query.outc,String,Search for specific outcome measures.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,spons,query.spons,String,Search for sponsors or collaborators.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,id,query.id,String,"Search for study identifiers (e.g., NCT ID)."
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,ids,filter.ids,Array,Return only studies with the specified NCT IDs.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,overallStatus,filter.overallStatus,Array,Filter results by one or more study statuses.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,geo,filter.geo,Object,Filter results to a geographic area by providing a point and radius.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,advanced,filter.advanced,String,Apply an advanced filter using Essie expression syntax.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,query,Input,cond,query.cond,String,Search for conditions or diseases.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,query,Input,term,query.term,String,"Search for other terms like interventions, outcomes, or sponsors."
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,query,Input,locn,query.locn,String,Search for study locations.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,query,Input,titles,query.titles,String,Search within study titles or acronyms.
