server_name,tool_name,parameter_name,schema_type,datatype,parameter_description,is_required
arxiv,arxiv_search_papers,date_to,Input,String,,Optional
arxiv,arxiv_search_papers,query,Input,String,,Required
arxiv,arxiv_search_papers,max_results,Input,Integer,,Optional
arxiv,arxiv_search_papers,categories,Input,Array,,Optional
arxiv,arxiv_search_papers,date_from,Input,String,,Optional
arxiv,arxiv_download_paper,paper_id,Input,String,The arXiv ID of the paper to download,Required
arxiv,arxiv_download_paper,check_status,Input,Boolean,"If true, only check conversion status without downloading",Optional
arxiv,arxiv_read_paper,paper_id,Input,String,The arXiv ID of the paper to read,Required
brave-search,brave-search_brave_web_search,offset,Input,Number,"Pagination offset (max 9, default 0)",Optional
brave-search,brave-search_brave_web_search,query,Input,String,"Search query (max 400 chars, 50 words)",Required
brave-search,brave-search_brave_web_search,count,Input,Number,"Number of results (1-20, default 10)",Optional
brave-search,brave-search_brave_local_search,query,Input,String,Local search query (e.g. 'pizza near Central Park'),Required
brave-search,brave-search_brave_local_search,count,Input,Number,"Number of results (1-20, default 5)",Optional
calculator,calculator_calculate,expression,Input,String,,Required
calculator,calculator_calculate,result,Output,String,,Required
cli-mcp-server,cli-mcp-server_run_command,command,Input,String,Single command to execute (example: 'ls -l' or 'cat file.txt'),Required
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_get_study,fields,Input,Array,"An optional list of specific top-level fields to include in the response. If omitted, all fields are returned.",Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_get_study,nctIds,Input,String,"A single NCT ID or an array of up to 5 NCT IDs. Each must follow the format 'NCT' followed by 8 digits (e.g., 'NCT12345678').",Required
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_get_study,summaryOnly,Input,Boolean,"If true, returns a condensed summary of the study instead of the full data. Defaults to false.",Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_get_study,markupFormat,Input,String,Specifies the format for rich text fields in the response. Defaults to 'markdown'.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,pageSize,Input,Integer,The number of studies to return per page (1-1000). Defaults to 5.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,query,Input,Object,A set of search terms that influence result ranking.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,sort,Input,Array,Specify the sort order for the results.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,fields,Input,Array,A list of specific top-level fields to include in the response.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,countTotal,Input,Boolean,"If true, includes the total count of matching studies in the response.",Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,pageToken,Input,String,A token used to retrieve the next page of results.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,filter,Input,Object,A set of filters that narrow the search results without affecting ranking.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,query,Input,Object,A set of search terms that influence result ranking.,Optional
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,analysisType,Input,String,The type of statistical analysis to perform on the study set.,Required
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,filter,Input,Object,A set of filters that narrow the search results without affecting ranking.,Optional
context7,context7_resolve-library-id,libraryName,Input,String,Library name to search for and retrieve a Context7-compatible library ID.,Required
context7,context7_get-library-docs,tokens,Input,Number,Maximum number of tokens of documentation to retrieve (default: 10000). Higher values provide more context but consume more tokens.,Optional
context7,context7_get-library-docs,context7CompatibleLibraryID,Input,String,"Exact Context7-compatible library ID (e.g., '/mongodb/docs', '/vercel/next.js', '/supabase/supabase', '/vercel/next.js/v14.3.0-canary.87') retrieved from 'resolve-library-id' or directly from user query in the format '/org/project' or '/org/project/version'.",Required
context7,context7_get-library-docs,topic,Input,String,"Topic to focus documentation on (e.g., 'hooks', 'routing').",Optional
ddg-search,ddg-search_search,max_results,Input,Integer,,Optional
ddg-search,ddg-search_search,query,Input,String,,Required
ddg-search,ddg-search_search,result,Output,String,,Required
ddg-search,ddg-search_fetch_content,url,Input,String,,Required
ddg-search,ddg-search_fetch_content,result,Output,String,,Required
desktop-commander,desktop-commander_set_config_value,key,Input,String,,Required
desktop-commander,desktop-commander_set_config_value,value,Input,String,,Optional
desktop-commander,desktop-commander_read_file,offset,Input,Number,,Optional
desktop-commander,desktop-commander_read_file,path,Input,String,,Required
desktop-commander,desktop-commander_read_file,length,Input,Number,,Optional
desktop-commander,desktop-commander_read_file,isUrl,Input,Boolean,,Optional
desktop-commander,desktop-commander_read_multiple_files,paths,Input,Array,,Required
desktop-commander,desktop-commander_write_file,mode,Input,String,,Optional
desktop-commander,desktop-commander_write_file,content,Input,String,,Required
desktop-commander,desktop-commander_write_file,path,Input,String,,Required
desktop-commander,desktop-commander_create_directory,path,Input,String,,Required
desktop-commander,desktop-commander_list_directory,path,Input,String,,Required
desktop-commander,desktop-commander_move_file,destination,Input,String,,Required
desktop-commander,desktop-commander_move_file,source,Input,String,,Required
desktop-commander,desktop-commander_search_files,path,Input,String,,Required
desktop-commander,desktop-commander_search_files,timeoutMs,Input,Number,,Optional
desktop-commander,desktop-commander_search_files,pattern,Input,String,,Required
desktop-commander,desktop-commander_search_code,ignoreCase,Input,Boolean,,Optional
desktop-commander,desktop-commander_search_code,path,Input,String,,Required
desktop-commander,desktop-commander_search_code,contextLines,Input,Number,,Optional
desktop-commander,desktop-commander_search_code,includeHidden,Input,Boolean,,Optional
desktop-commander,desktop-commander_search_code,filePattern,Input,String,,Optional
desktop-commander,desktop-commander_search_code,pattern,Input,String,,Required
desktop-commander,desktop-commander_search_code,timeoutMs,Input,Number,,Optional
desktop-commander,desktop-commander_search_code,maxResults,Input,Number,,Optional
desktop-commander,desktop-commander_get_file_info,path,Input,String,,Required
desktop-commander,desktop-commander_edit_block,old_string,Input,String,,Required
desktop-commander,desktop-commander_edit_block,new_string,Input,String,,Required
desktop-commander,desktop-commander_edit_block,file_path,Input,String,,Required
desktop-commander,desktop-commander_edit_block,expected_replacements,Input,Number,,Optional
desktop-commander,desktop-commander_start_process,timeout_ms,Input,Number,,Required
desktop-commander,desktop-commander_start_process,shell,Input,String,,Optional
desktop-commander,desktop-commander_start_process,command,Input,String,,Required
desktop-commander,desktop-commander_read_process_output,timeout_ms,Input,Number,,Optional
desktop-commander,desktop-commander_read_process_output,pid,Input,Number,,Required
desktop-commander,desktop-commander_interact_with_process,timeout_ms,Input,Number,,Optional
desktop-commander,desktop-commander_interact_with_process,wait_for_prompt,Input,Boolean,,Optional
desktop-commander,desktop-commander_interact_with_process,pid,Input,Number,,Required
desktop-commander,desktop-commander_interact_with_process,input,Input,String,,Required
desktop-commander,desktop-commander_force_terminate,pid,Input,Number,,Required
desktop-commander,desktop-commander_kill_process,pid,Input,Number,,Required
e2b-server,e2b-server_run_code,code,Input,String,,Required
exa,exa_web_search_exa,query,Input,String,Search query,Required
exa,exa_web_search_exa,numResults,Input,Number,Number of search results to return (default: 5),Optional
fetch,fetch_fetch,raw,Input,Boolean,"Get the actual HTML content of the requested page, without simplification.",Optional
fetch,fetch_fetch,url,Input,String,URL to fetch,Required
fetch,fetch_fetch,start_index,Input,Integer,"On return output starting at this character index, useful if a previous fetch was truncated and more context is required.",Optional
fetch,fetch_fetch,max_length,Input,Integer,Maximum number of characters to return.,Optional
filesystem,filesystem_read_file,head,Input,Number,"If provided, returns only the first N lines of the file",Optional
filesystem,filesystem_read_file,content,Output,String,,Required
filesystem,filesystem_read_file,path,Input,String,,Required
filesystem,filesystem_read_file,tail,Input,Number,"If provided, returns only the last N lines of the file",Optional
filesystem,filesystem_read_text_file,head,Input,Number,"If provided, returns only the first N lines of the file",Optional
filesystem,filesystem_read_text_file,content,Output,String,,Required
filesystem,filesystem_read_text_file,path,Input,String,,Required
filesystem,filesystem_read_text_file,tail,Input,Number,"If provided, returns only the last N lines of the file",Optional
filesystem,filesystem_read_media_file,content,Output,Array,,Required
filesystem,filesystem_read_media_file,path,Input,String,,Required
filesystem,filesystem_read_multiple_files,content,Output,String,,Required
filesystem,filesystem_read_multiple_files,paths,Input,Array,Array of file paths to read. Each path must be a string pointing to a valid file within allowed directories.,Required
filesystem,filesystem_write_file,content,Input/Output,String,,Required
filesystem,filesystem_write_file,path,Input,String,,Required
filesystem,filesystem_edit_file,edits,Input,Array,,Required
filesystem,filesystem_edit_file,content,Output,String,,Required
filesystem,filesystem_edit_file,path,Input,String,,Required
filesystem,filesystem_edit_file,dryRun,Input,Boolean,Preview changes using git-style diff format,Optional
filesystem,filesystem_create_directory,content,Output,String,,Required
filesystem,filesystem_create_directory,path,Input,String,,Required
filesystem,filesystem_list_directory,content,Output,String,,Required
filesystem,filesystem_list_directory,path,Input,String,,Required
filesystem,filesystem_list_directory_with_sizes,content,Output,String,,Required
filesystem,filesystem_list_directory_with_sizes,path,Input,String,,Required
filesystem,filesystem_list_directory_with_sizes,sortBy,Input,String,Sort entries by name or size,Optional
filesystem,filesystem_directory_tree,content,Output,String,,Required
filesystem,filesystem_directory_tree,path,Input,String,,Required
filesystem,filesystem_directory_tree,excludePatterns,Input,Array,,Optional
filesystem,filesystem_move_file,content,Output,String,,Required
filesystem,filesystem_move_file,destination,Input,String,,Required
filesystem,filesystem_move_file,source,Input,String,,Required
filesystem,filesystem_search_files,content,Output,String,,Required
filesystem,filesystem_search_files,path,Input,String,,Required
filesystem,filesystem_search_files,excludePatterns,Input,Array,,Optional
filesystem,filesystem_search_files,pattern,Input,String,,Required
filesystem,filesystem_get_file_info,content,Output,String,,Required
filesystem,filesystem_get_file_info,path,Input,String,,Required
filesystem,filesystem_list_allowed_directories,content,Output,String,,Required
git,git_git_status,repo_path,Input,String,,Required
git,git_git_diff_unstaged,context_lines,Input,Integer,,Optional
git,git_git_diff_unstaged,repo_path,Input,String,,Required
git,git_git_diff_staged,context_lines,Input,Integer,,Optional
git,git_git_diff_staged,repo_path,Input,String,,Required
git,git_git_diff,target,Input,String,,Required
git,git_git_diff,context_lines,Input,Integer,,Optional
git,git_git_diff,repo_path,Input,String,,Required
git,git_git_commit,message,Input,String,,Required
git,git_git_commit,repo_path,Input,String,,Required
git,git_git_add,files,Input,Array,,Required
git,git_git_add,repo_path,Input,String,,Required
git,git_git_reset,repo_path,Input,String,,Required
git,git_git_log,max_count,Input,Integer,,Optional
git,git_git_log,repo_path,Input,String,,Required
git,git_git_create_branch,branch_name,Input,String,,Required
git,git_git_create_branch,base_branch,Input,String,,Optional
git,git_git_create_branch,repo_path,Input,String,,Required
git,git_git_checkout,branch_name,Input,String,,Required
git,git_git_checkout,repo_path,Input,String,,Required
git,git_git_show,repo_path,Input,String,,Required
git,git_git_show,revision,Input,String,,Required
git,git_git_init,repo_path,Input,String,,Required
git,git_git_branch,not_contains,Input,String,The commit sha that branch should NOT contain. Do not pass anything to this param if no commit sha is specified,Optional
git,git_git_branch,contains,Input,String,The commit sha that branch should contain. Do not pass anything to this param if no commit sha is specified,Optional
git,git_git_branch,branch_type,Input,String,"Whether to list local branches ('local'), remote branches ('remote') or all branches('all').",Required
git,git_git_branch,repo_path,Input,String,The path to the Git repository.,Required
github,github_search_repositories,query,Input,String,"Search query. Examples: 'language:typescript stars:>1000', 'org:facebook react', 'machine learning in:description', 'user:octocat', 'created:>2023-01-01', 'license:mit', 'topic:javascript', 'is:public archived:false'",Required
github,github_search_repositories,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_search_repositories,page,Input,Number,Page number (default 1),Optional
github,github_search_code,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_search_code,page,Input,Number,Page number (default 1),Optional
github,github_search_code,sort,Input,String,Sort field ('indexed' only),Optional
github,github_search_code,q,Input,String,"Search query using GitHub code search syntax. Examples: 'addClass in:file language:js', 'repo:owner/name path:src/ extension:py', 'org:github extension:js', 'filename:test.py', 'user:octocat extension:rb', 'console.log path:/src/components', 'TODO in:comments'",Required
github,github_search_code,order,Input,String,Sort order,Optional
github,github_search_users,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_search_users,page,Input,Number,Page number (default 1),Optional
github,github_search_users,sort,Input,String,Sort field by category,Optional
github,github_search_users,q,Input,String,"Search query using GitHub users search syntax. Examples: 'location:""San Francisco"" followers:>100', 'language:python repos:>50', 'fullname:""John Doe""', 'type:user', 'type:org', 'created:>2020-01-01', 'in:email example.com'",Required
github,github_search_users,order,Input,String,Sort order,Optional
github,github_get_issue,owner,Input,String,The owner of the repository,Required
github,github_get_issue,repo,Input,String,The name of the repository,Required
github,github_get_issue,issue_number,Input,Number,The number of the issue,Required
github,github_add_issue_comment,owner,Input,String,Repository owner,Required
github,github_add_issue_comment,repo,Input,String,Repository name,Required
github,github_add_issue_comment,issue_number,Input,Number,Issue number to comment on,Required
github,github_add_issue_comment,body,Input,String,Comment content,Required
github,github_search_issues,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_search_issues,page,Input,Number,Page number (default 1),Optional
github,github_search_issues,sort,Input,String,"Sort field by number of matches of categories, defaults to best match",Optional
github,github_search_issues,q,Input,String,Search query using GitHub issues search syntax,Required
github,github_search_issues,order,Input,String,Sort order,Optional
github,github_create_issue,owner,Input,String,Repository owner,Required
github,github_create_issue,assignees,Input,Array,Usernames to assign to this issue,Optional
github,github_create_issue,labels,Input,Array,Labels to apply to this issue,Optional
github,github_create_issue,milestone,Input,Number,Milestone number,Optional
github,github_create_issue,repo,Input,String,Repository name,Required
github,github_create_issue,title,Input,String,Issue title,Required
github,github_create_issue,body,Input,String,Issue body content,Optional
github,github_list_issues,labels,Input,Array,Filter by labels,Optional
github,github_list_issues,repo,Input,String,Repository name,Required
github,github_list_issues,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_list_issues,sort,Input,String,Sort order,Optional
github,github_list_issues,direction,Input,String,Sort direction,Optional
github,github_list_issues,since,Input,String,Filter by date (ISO 8601 timestamp),Optional
github,github_list_issues,state,Input,String,Filter by state,Optional
github,github_list_issues,page,Input,Number,Page number (default 1),Optional
github,github_list_issues,owner,Input,String,Repository owner,Required
github,github_update_issue,labels,Input,Array,New labels,Optional
github,github_update_issue,repo,Input,String,Repository name,Required
github,github_update_issue,title,Input,String,New title,Optional
github,github_update_issue,issue_number,Input,Number,Issue number to update,Required
github,github_update_issue,body,Input,String,New description,Optional
github,github_update_issue,assignees,Input,Array,New assignees,Optional
github,github_update_issue,state,Input,String,New state,Optional
github,github_update_issue,milestone,Input,Number,New milestone number,Optional
github,github_update_issue,owner,Input,String,Repository owner,Required
github,github_get_issue_comments,owner,Input,String,Repository owner,Required
github,github_get_issue_comments,per_page,Input,Number,Number of records per page,Optional
github,github_get_issue_comments,page,Input,Number,Page number,Optional
github,github_get_issue_comments,repo,Input,String,Repository name,Required
github,github_get_issue_comments,issue_number,Input,Number,Issue number,Required
github,github_get_repository,owner,Input,String,Repository owner,Required
github,github_get_repository,repo,Input,String,Repository name,Required
github,github_get_commit,owner,Input,String,Repository owner,Required
github,github_get_commit,sha,Input,String,"Commit SHA, branch name, or tag name",Required
github,github_get_commit,repo,Input,String,Repository name,Required
github,github_list_commits,owner,Input,String,Repository owner,Required
github,github_list_commits,sha,Input,String,SHA or Branch name,Optional
github,github_list_commits,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_list_commits,page,Input,Number,Page number (default 1),Optional
github,github_list_commits,repo,Input,String,Repository name,Required
github,github_list_branches,owner,Input,String,Repository owner,Required
github,github_list_branches,repo,Input,String,Repository name,Required
github,github_list_branches,page,Input,Number,Page number (default 1),Optional
github,github_list_branches,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_create_or_update_file,message,Input,String,Commit message,Required
github,github_create_or_update_file,owner,Input,String,Repository owner (username or organization),Required
github,github_create_or_update_file,content,Input,String,Content of the file,Required
github,github_create_or_update_file,sha,Input,String,"Full SHA of the current file blob (required for updates, must be the complete 40-character SHA)",Optional
github,github_create_or_update_file,branch,Input,String,Branch to create/update the file in,Required
github,github_create_or_update_file,repo,Input,String,Repository name,Required
github,github_create_or_update_file,path,Input,String,Path where to create/update the file,Required
github,github_create_repository,private,Input,Boolean,Whether repo should be private,Optional
github,github_create_repository,description,Input,String,Repository description,Optional
github,github_create_repository,name,Input,String,Repository name,Required
github,github_create_repository,autoInit,Input,Boolean,Initialize with README,Optional
github,github_get_file_contents,owner,Input,String,Repository owner (username or organization),Required
github,github_get_file_contents,branch,Input,String,Branch to get contents from (defaults to default branch),Optional
github,github_get_file_contents,repo,Input,String,Repository name,Required
github,github_get_file_contents,path,Input,String,Path to file,Required
github,github_get_file_contents,mode,Input,String,"Mode: 'overview' for truncated preview, 'full' for complete file",Optional
github,github_fork_repository,owner,Input,String,Repository owner,Required
github,github_fork_repository,repo,Input,String,Repository name,Required
github,github_fork_repository,organization,Input,String,Organization to fork to,Optional
github,github_create_branch,owner,Input,String,Repository owner,Required
github,github_create_branch,from_branch,Input,String,Source branch (defaults to repo default),Optional
github,github_create_branch,repo,Input,String,Repository name,Required
github,github_create_branch,branch,Input,String,Name for new branch,Required
github,github_list_tags,owner,Input,String,Repository owner,Required
github,github_list_tags,repo,Input,String,Repository name,Required
github,github_list_tags,page,Input,Number,Page number (default 1),Optional
github,github_list_tags,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_get_tag,owner,Input,String,Repository owner,Required
github,github_get_tag,repo,Input,String,Repository name,Required
github,github_get_tag,tag,Input,String,Tag name,Required
github,github_push_files,message,Input,String,Commit message,Required
github,github_push_files,owner,Input,String,Repository owner,Required
github,github_push_files,branch,Input,String,Branch to push to,Required
github,github_push_files,repo,Input,String,Repository name,Required
github,github_push_files,files,Input,Array,"Array of file objects to push, each object with path (string) and content (string)",Required
github,github_get_pull_request,owner,Input,String,Repository owner,Required
github,github_get_pull_request,pullNumber,Input,Number,Pull request number,Required
github,github_get_pull_request,repo,Input,String,Repository name,Required
github,github_update_pull_request,repo,Input,String,Repository name,Required
github,github_update_pull_request,pullNumber,Input,Number,Pull request number to update,Required
github,github_update_pull_request,title,Input,String,New title,Optional
github,github_update_pull_request,maintainer_can_modify,Input,Boolean,Allow maintainer edits,Optional
github,github_update_pull_request,body,Input,String,New description,Optional
github,github_update_pull_request,state,Input,String,New state,Optional
github,github_update_pull_request,base,Input,String,New base branch name,Optional
github,github_update_pull_request,owner,Input,String,Repository owner,Required
github,github_list_pull_requests,head,Input,String,Filter by head user/org and branch,Optional
github,github_list_pull_requests,repo,Input,String,Repository name,Required
github,github_list_pull_requests,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_list_pull_requests,sort,Input,String,Sort by,Optional
github,github_list_pull_requests,direction,Input,String,Sort direction,Optional
github,github_list_pull_requests,state,Input,String,Filter by state,Optional
github,github_list_pull_requests,page,Input,Number,Page number (default 1),Optional
github,github_list_pull_requests,base,Input,String,Filter by base branch,Optional
github,github_list_pull_requests,owner,Input,String,Repository owner,Required
github,github_merge_pull_request,owner,Input,String,Repository owner,Required
github,github_merge_pull_request,commit_title,Input,String,Title for merge commit,Optional
github,github_merge_pull_request,merge_method,Input,String,Merge method,Optional
github,github_merge_pull_request,repo,Input,String,Repository name,Required
github,github_merge_pull_request,pullNumber,Input,Number,Pull request number,Required
github,github_merge_pull_request,commit_message,Input,String,Extra detail for merge commit,Optional
github,github_get_pull_request_files,owner,Input,String,Repository owner,Required
github,github_get_pull_request_files,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_get_pull_request_files,page,Input,Number,Page number (default 1),Optional
github,github_get_pull_request_files,repo,Input,String,Repository name,Required
github,github_get_pull_request_files,pullNumber,Input,Number,Pull request number,Required
github,github_get_pull_request_status,owner,Input,String,Repository owner,Required
github,github_get_pull_request_status,pullNumber,Input,Number,Pull request number,Required
github,github_get_pull_request_status,repo,Input,String,Repository name,Required
github,github_update_pull_request_branch,owner,Input,String,Repository owner,Required
github,github_update_pull_request_branch,expectedHeadSha,Input,String,The expected SHA of the pull request's HEAD ref,Optional
github,github_update_pull_request_branch,pullNumber,Input,Number,Pull request number,Required
github,github_update_pull_request_branch,repo,Input,String,Repository name,Required
github,github_get_pull_request_comments,owner,Input,String,Repository owner,Required
github,github_get_pull_request_comments,per_page,Input,Number,"Results per page (default 10, max 100)",Optional
github,github_get_pull_request_comments,page,Input,Number,Page number (default 1),Optional
github,github_get_pull_request_comments,repo,Input,String,Repository name,Required
github,github_get_pull_request_comments,pullNumber,Input,Number,Pull request number,Required
github,github_create_pull_request,head,Input,String,Branch containing changes,Required
github,github_create_pull_request,repo,Input,String,Repository name,Required
github,github_create_pull_request,draft,Input,Boolean,Create as draft PR,Optional
github,github_create_pull_request,title,Input,String,PR title,Required
github,github_create_pull_request,maintainer_can_modify,Input,Boolean,Allow maintainer edits,Optional
