server_name,tool_name,tool_description
airtable,airtable_list_bases,List all accessible Airtable bases
airtable,airtable_list_tables,List all tables in a base
airtable,airtable_create_table,Create a new table in a base
airtable,airtable_update_table,Update a table's schema
airtable,airtable_create_field,Create a new field in a table
airtable,airtable_update_field,Update a field in a table
airtable,airtable_list_records,List records in a table
airtable,airtable_create_record,Create a new record in a table
airtable,airtable_update_record,Update an existing record in a table
airtable,airtable_delete_record,Delete a record from a table
airtable,airtable_search_records,Search for records in a table
airtable,airtable_get_record,Get a single record by its ID
alchemy,alchemy_fetchTokenPriceBySymbol,
alchemy,alchemy_fetchTokenPriceByAddress,
alchemy,alchemy_fetchTokenPriceHistoryBySymbol,
alchemy,alchemy_fetchTokenPriceHistoryByTimeFrame,
alchemy,alchemy_fetchTokensOwnedByMultichainAddresses,
alchemy,alchemy_fetchAddressTransactionHistory,
alchemy,alchemy_fetchTransfers,
alchemy,alchemy_fetchNftsOwnedByMultichainAddresses,
alchemy,alchemy_fetchNftContractDataByMultichainAddress,
arxiv,arxiv_search_papers,Search for papers on arXiv with advanced filtering
arxiv,arxiv_download_paper,Download a paper and create a resource for it
arxiv,arxiv_list_papers,List all existing papers available as resources
arxiv,arxiv_read_paper,Read the full content of a stored paper in markdown format
brave-search,brave-search_brave_web_search,"Performs a web search using the Brave Search API, ideal for general queries, news, articles, and online content. Use this for broad information gathering, recent events, or when you need diverse web sources. Supports pagination, content filtering, and freshness controls. Maximum 20 results per request, with offset for pagination. "
brave-search,brave-search_brave_local_search,"Searches for local businesses and places using Brave's Local Search API. Best for queries related to physical locations, businesses, restaurants, services, etc. Returns detailed information including:
- Business names and addresses
- Ratings and review counts
- Phone numbers and opening hours
Use this when the query implies 'near me' or mentions specific locations. Automatically falls back to web search if no local results are found."
calculator,calculator_calculate,Calculates/evaluates the given expression.
cli-mcp-server,cli-mcp-server_run_command,"Allows command (CLI) execution in the directory: /data

Available commands: ls, cat, find
Available flags: 

Shell operators (&&, ||, |, >, >>, <, <<, ;) are not supported. Set ALLOW_SHELL_OPERATORS=true to enable."
cli-mcp-server,cli-mcp-server_show_security_rules,"Show what commands and operations are allowed in this environment.
"
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_get_study,Fetches one or more clinical studies from ClinicalTrials.gov by their NCT IDs. Returns either complete study data or concise summaries for each.
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_list_studies,"Searches for clinical studies using a combination of query terms and filters. Supports pagination, sorting, and geographic filtering."
clinicaltrialsgov-mcp-server,clinicaltrialsgov-mcp-server_clinicaltrials_analyze_trends,"Performs a statistical analysis on a set of clinical trials, aggregating data by status, country, sponsor, or phase. Use specific query parameters to refine the analysis and filter the studies included in the analysis. The tool can handle up to 5000 studies per analysis."
context7,context7_resolve-library-id,"Resolves a package/product name to a Context7-compatible library ID and returns a list of matching libraries.

You MUST call this function before 'get-library-docs' to obtain a valid Context7-compatible library ID UNLESS the user explicitly provides a library ID in the format '/org/project' or '/org/project/version' in their query.

Selection Process:
1. Analyze the query to understand what library/package the user is looking for
2. Return the most relevant match based on:
- Name similarity to the query (exact matches prioritized)
- Description relevance to the query's intent
- Documentation coverage (prioritize libraries with higher Code Snippet counts)
- Trust score (consider libraries with scores of 7-10 more authoritative)

Response Format:
- Return the selected library ID in a clearly marked section
- Provide a brief explanation for why this library was chosen
- If multiple good matches exist, acknowledge this but proceed with the most relevant one
- If no good matches exist, clearly state this and suggest query refinements

For ambiguous queries, request clarification before proceeding with a best-guess match."
context7,context7_get-library-docs,"Fetches up-to-date documentation for a library. You must call 'resolve-library-id' first to obtain the exact Context7-compatible library ID required to use this tool, UNLESS the user explicitly provides a library ID in the format '/org/project' or '/org/project/version' in their query."
ddg-search,ddg-search_search,"
Search DuckDuckGo and return formatted results.

Args:
    query: The search query string
    max_results: Maximum number of results to return (default: 10)
    ctx: MCP context for logging
"
ddg-search,ddg-search_fetch_content,"
Fetch and parse content from a webpage URL.

Args:
    url: The webpage URL to fetch content from
    ctx: MCP context for logging
"
desktop-commander,desktop-commander_get_config,"
                        Get the complete server configuration as JSON. Config includes fields for:
                        - blockedCommands (array of blocked shell commands)
                        - defaultShell (shell to use for commands)
                        - allowedDirectories (paths the server can access)
                        - fileReadLineLimit (max lines for read_file, default 1000)
                        - fileWriteLineLimit (max lines per write_file call, default 50)
                        - telemetryEnabled (boolean for telemetry opt-in/out)
                        - currentClient (information about the currently connected MCP client)
                        - clientHistory (history of all clients that have connected)
                        - version (version of the DesktopCommander)
                        - systemInfo (operating system and environment details)
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_set_config_value,"
                        Set a specific configuration value by key.
                        
                        WARNING: Should be used in a separate chat from file operations and 
                        command execution to prevent security issues.
                        
                        Config keys include:
                        - blockedCommands (array)
                        - defaultShell (string)
                        - allowedDirectories (array of paths)
                        - fileReadLineLimit (number, max lines for read_file)
                        - fileWriteLineLimit (number, max lines per write_file call)
                        - telemetryEnabled (boolean)
                        
                        IMPORTANT: Setting allowedDirectories to an empty array ([]) allows full access 
                        to the entire file system, regardless of the operating system.
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
