server_name,tool_name,tool_description
desktop-commander,desktop-commander_read_file,"
                        Read the contents of a file from the file system or a URL with optional offset and length parameters.
                        
                        Prefer this over 'execute_command' with cat/type for viewing files.
                        
                        Supports partial file reading with:
                        - 'offset' (start line, default: 0)
                          * Positive: Start from line N (0-based indexing)
                          * Negative: Read last N lines from end (tail behavior)
                        - 'length' (max lines to read, default: configurable via 'fileReadLineLimit' setting, initially 1000)
                          * Used with positive offsets for range reading
                          * Ignored when offset is negative (reads all requested tail lines)
                        
                        Examples:
                        - offset: 0, length: 10     → First 10 lines
                        - offset: 100, length: 5    → Lines 100-104
                        - offset: -20               → Last 20 lines  
                        - offset: -5, length: 10    → Last 5 lines (length ignored)
                        
                        Performance optimizations:
                        - Large files with negative offsets use reverse reading for efficiency
                        - Large files with deep positive offsets use byte estimation
                        - Small files use fast readline streaming
                        
                        When reading from the file system, only works within allowed directories.
                        Can fetch content from URLs when isUrl parameter is set to true
                        (URLs are always read in full regardless of offset/length).
                        
                        Handles text files normally and image files are returned as viewable images.
                        Recognized image types: PNG, JPEG, GIF, WebP.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_read_multiple_files,"
                        Read the contents of multiple files simultaneously.
                        
                        Each file's content is returned with its path as a reference.
                        Handles text files normally and renders images as viewable content.
                        Recognized image types: PNG, JPEG, GIF, WebP.
                        
                        Failed reads for individual files won't stop the entire operation.
                        Only works within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_write_file,"
                        Write or append to file contents. 

                        CHUNKING IS STANDARD PRACTICE: Always write files in chunks of 25-30 lines maximum.
                        This is the normal, recommended way to write files - not an emergency measure.

                        STANDARD PROCESS FOR ANY FILE:
                        1. FIRST → write_file(filePath, firstChunk, {mode: 'rewrite'})  [≤30 lines]
                        2. THEN → write_file(filePath, secondChunk, {mode: 'append'})   [≤30 lines]
                        3. CONTINUE → write_file(filePath, nextChunk, {mode: 'append'}) [≤30 lines]

                        ALWAYS CHUNK PROACTIVELY - don't wait for performance warnings!

                        WHEN TO CHUNK (always be proactive):
                        1. Any file expected to be longer than 25-30 lines
                        2. When writing multiple files in sequence
                        3. When creating documentation, code files, or configuration files
                        
                        HANDLING CONTINUATION (""Continue"" prompts):
                        If user asks to ""Continue"" after an incomplete operation:
                        1. Read the file to see what was successfully written
                        2. Continue writing ONLY the remaining content using {mode: 'append'}
                        3. Keep chunks to 25-30 lines each
                        
                        Files over 50 lines will generate performance notes but are still written successfully.
                        Only works within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_create_directory,"
                        Create a new directory or ensure a directory exists.
                        
                        Can create multiple nested directories in one operation.
                        Only works within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_list_directory,"
                        Get a detailed listing of all files and directories in a specified path.
                        
                        Use this instead of 'execute_command' with ls/dir commands.
                        Results distinguish between files and directories with [FILE] and [DIR] prefixes.
                        Only works within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_move_file,"
                        Move or rename files and directories.
                        
                        Can move files between directories and rename them in a single operation.
                        Both source and destination must be within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_search_files,"
                        Finds files by name using a case-insensitive substring matching.
                        
                        Use this instead of 'execute_command' with find/dir/ls for locating files.
                        Searches through all subdirectories from the starting path.
                        
                        Has a default timeout of 30 seconds which can be customized using the timeoutMs parameter.
                        Only searches within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_search_code,"
                        Search for text/code patterns within file contents using ripgrep.
                        
                        Use this instead of 'execute_command' with grep/find for searching code content.
                        Fast and powerful search similar to VS Code search functionality.
                        
                        Supports regular expressions, file pattern filtering, and context lines.
                        Has a default timeout of 30 seconds which can be customized.
                        Only searches within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_get_file_info,"
                        Retrieve detailed metadata about a file or directory including:
                        - size
                        - creation time
                        - last modified time 
                        - permissions
                        - type
                        - lineCount (for text files)
                        - lastLine (zero-indexed number of last line, for text files)
                        - appendPosition (line number for appending, for text files)
                        
                        Only works within allowed directories.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_edit_block,"
                        Apply surgical text replacements to files.
                        
                        BEST PRACTICE: Make multiple small, focused edits rather than one large edit.
                        Each edit_block call should change only what needs to be changed - include just enough 
                        context to uniquely identify the text being modified.
                        
                        Takes:
                        - file_path: Path to the file to edit
                        - old_string: Text to replace
                        - new_string: Replacement text
                        - expected_replacements: Optional parameter for number of replacements
                        
                        By default, replaces only ONE occurrence of the search text.
                        To replace multiple occurrences, provide the expected_replacements parameter with
                        the exact number of matches expected.
                        
                        UNIQUENESS REQUIREMENT: When expected_replacements=1 (default), include the minimal
                        amount of context necessary (typically 1-3 lines) before and after the change point,
                        with exact whitespace and indentation.
                        
                        When editing multiple sections, make separate edit_block calls for each distinct change
                        rather than one large replacement.
                        
                        When a close but non-exact match is found, a character-level diff is shown in the format:
                        common_prefix{-removed-}{+added+}common_suffix to help you identify what's different.
                        
                        Similar to write_file, there is a configurable line limit (fileWriteLineLimit) that warns
                        if the edited file exceeds this limit. If this happens, consider breaking your edits into
                        smaller, more focused changes.
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_start_process,"
                        Start a new terminal process with intelligent state detection.
                        
                        PRIMARY TOOL FOR FILE ANALYSIS AND DATA PROCESSING
                        This is the ONLY correct tool for analyzing local files (CSV, JSON, logs, etc.).
                        The analysis tool CANNOT access local files and WILL FAIL - always use processes for file-based work.
                        
                        CRITICAL RULE: For ANY local file work, ALWAYS use this tool + interact_with_process, NEVER use analysis/REPL tool.
                        
                        Running on Linux. Default shell: bash.
        
LINUX-SPECIFIC NOTES:
- Package managers vary by distro: apt, yum, dnf, pacman, zypper
- Python 3 might be 'python3' command, not 'python'
- Standard Unix shell tools available (grep, awk, sed, etc.)
- File permissions and ownership important for many operations
- Systemd services common on modern distributions
                        
                        REQUIRED WORKFLOW FOR LOCAL FILES:
                        1. start_process(""python3 -i"") - Start Python REPL for data analysis
                        2. interact_with_process(pid, ""import pandas as pd, numpy as np"")
                        3. interact_with_process(pid, ""df = pd.read_csv('/absolute/path/file.csv')"")
                        4. interact_with_process(pid, ""print(df.describe())"")
                        5. Continue analysis with pandas, matplotlib, seaborn, etc.
                        
                        COMMON FILE ANALYSIS PATTERNS:
                        • start_process(""python3 -i"") → Python REPL for data analysis (RECOMMENDED)
                        • start_process(""node -i"") → Node.js for JSON processing  
                        • start_process(""cut -d',' -f1 file.csv | sort | uniq -c"") → Quick CSV analysis
                        • start_process(""wc -l /path/file.csv"") → Line counting
                        • start_process(""head -10 /path/file.csv"") → File preview
                        
                        BINARY FILE SUPPORT:
                        For PDF, Excel, Word, archives, databases, and other binary formats, use process tools with appropriate libraries or command-line utilities.
                        
                        INTERACTIVE PROCESSES FOR DATA ANALYSIS:
                        1. start_process(""python3 -i"") - Start Python REPL for data work
                        2. start_process(""node -i"") - Start Node.js REPL for JSON/JS
                        3. start_process(""bash"") - Start interactive bash shell
                        4. Use interact_with_process() to send commands
                        5. Use read_process_output() to get responses
                        
                        SMART DETECTION:
                        - Detects REPL prompts (>>>, >, $, etc.)
                        - Identifies when process is waiting for input
                        - Recognizes process completion vs timeout
                        - Early exit prevents unnecessary waiting
                        
                        STATES DETECTED:
                        Process waiting for input (shows prompt)
                        Process finished execution  
                        Process running (use read_process_output)
                        
                        ALWAYS USE FOR: Local file analysis, CSV processing, data exploration, system commands
                        NEVER USE ANALYSIS TOOL FOR: Local file access (analysis tool is browser-only and WILL FAIL)
                        
                        IMPORTANT: Always use absolute paths for reliability. Paths are automatically normalized regardless of slash direction. Relative paths may fail as they depend on the current working directory. Tilde paths (~/...) might not work in all contexts. Unless the user explicitly asks for relative paths, use absolute paths.
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_read_process_output,"
                        Read output from a running process with intelligent completion detection.
                        
                        Automatically detects when process is ready for more input instead of timing out.
                        
                        SMART FEATURES:
                        - Early exit when REPL shows prompt (>>>, >, etc.)
                        - Detects process completion vs still running
                        - Prevents hanging on interactive prompts
                        - Clear status messages about process state
                        
                        REPL USAGE:
                        - Stops immediately when REPL prompt detected
                        - Shows clear status: waiting for input vs finished
                        - Shorter timeouts needed due to smart detection
                        - Works with Python, Node.js, R, Julia, etc.
                        
                        DETECTION STATES:
                        Process waiting for input (ready for interact_with_process)
                        Process finished execution
                        Timeout reached (may still be running)
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_interact_with_process,"
                        Send input to a running process and automatically receive the response.
                        
                        CRITICAL: THIS IS THE PRIMARY TOOL FOR ALL LOCAL FILE ANALYSIS
                        For ANY local file analysis (CSV, JSON, data processing), ALWAYS use this instead of the analysis tool.
                        The analysis tool CANNOT access local files and WILL FAIL - use processes for ALL file-based work.
                        
                        FILE ANALYSIS PRIORITY ORDER (MANDATORY):
                        1. ALWAYS FIRST: Use this tool (start_process + interact_with_process) for local data analysis
                        2. ALTERNATIVE: Use command-line tools (cut, awk, grep) for quick processing  
                        3. NEVER EVER: Use analysis tool for local file access (IT WILL FAIL)
                        
                        REQUIRED INTERACTIVE WORKFLOW FOR FILE ANALYSIS:
                        1. Start REPL: start_process(""python3 -i"")
                        2. Load libraries: interact_with_process(pid, ""import pandas as pd, numpy as np"")
                        3. Read file: interact_with_process(pid, ""df = pd.read_csv('/absolute/path/file.csv')"")
                        4. Analyze: interact_with_process(pid, ""print(df.describe())"")
                        5. Continue: interact_with_process(pid, ""df.groupby('column').size()"")
                        
                        BINARY FILE PROCESSING WORKFLOWS:
                        Use appropriate Python libraries (PyPDF2, pandas, docx2txt, etc.) or command-line tools for binary file analysis.
                        
                        SMART DETECTION:
                        - Automatically waits for REPL prompt (>>>, >, etc.)
                        - Detects errors and completion states
                        - Early exit prevents timeout delays
                        - Clean output formatting (removes prompts)
                        
                        SUPPORTED REPLs:
                        - Python: python3 -i (RECOMMENDED for data analysis)
                        - Node.js: node -i  
                        - R: R
                        - Julia: julia
                        - Shell: bash, zsh
                        - Database: mysql, postgres
                        
                        PARAMETERS:
                        - pid: Process ID from start_process
                        - input: Code/command to execute
                        - timeout_ms: Max wait (default: 8000ms)
                        - wait_for_prompt: Auto-wait for response (default: true)
                        
                        Returns execution result with status indicators.
                        
                        ALWAYS USE FOR: CSV analysis, JSON processing, file statistics, data visualization prep, ANY local file work
                        NEVER USE ANALYSIS TOOL FOR: Local file access (it cannot read files from disk and WILL FAIL)
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_force_terminate,"
                        Force terminate a running terminal session.
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_list_sessions,"
                        List all active terminal sessions.
                        
                        Shows session status including:
                        - PID: Process identifier  
                        - Blocked: Whether session is waiting for input
                        - Runtime: How long the session has been running
                        
                        DEBUGGING REPLs:
                        - ""Blocked: true"" often means REPL is waiting for input
                        - Use this to verify sessions are running before sending input
                        - Long runtime with blocked status may indicate stuck process
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_list_processes,"
                        List all running processes.
                        
                        Returns process information including PID, command name, CPU usage, and memory usage.
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_kill_process,"
                        Terminate a running process by PID.
                        
                        Use with caution as this will forcefully terminate the specified process.
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_get_usage_stats,"
                        Get usage statistics for debugging and analysis.
                        
                        Returns summary of tool usage, success/failure rates, and performance metrics.
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
desktop-commander,desktop-commander_give_feedback_to_desktop_commander,"
                        Open feedback form in browser to provide feedback about Desktop Commander.
                        
                        IMPORTANT: This tool simply opens the feedback form - no pre-filling available.
                        The user will fill out the form manually in their browser.
                        
                        WORKFLOW:
                        1. When user agrees to give feedback, just call this tool immediately
                        2. No need to ask questions or collect information
                        3. Tool opens form with only usage statistics pre-filled automatically:
                           - tool_call_count: Number of commands they've made
                           - days_using: How many days they've used Desktop Commander
                           - platform: Their operating system (Mac/Windows/Linux)
                           - client_id: Analytics identifier
                        
                        All survey questions will be answered directly in the form:
                        - Job title and technical comfort level
                        - Company URL for industry context
                        - Other AI tools they use
                        - Desktop Commander's biggest advantage
                        - How they typically use it
                        - Recommendation likelihood (0-10)
                        - User study participation interest
                        - Email and any additional feedback
                        
                        EXAMPLE INTERACTION:
                        User: ""sure, I'll give feedback""
                        Claude: ""Perfect! Let me open the feedback form for you.""
                        [calls tool immediately]
                        
                        No parameters are needed - just call the tool to open the form.
                        
                        This command can be referenced as ""DC: ..."" or ""use Desktop Commander to ..."" in your instructions."
e2b-server,e2b-server_run_code,Run python code in a secure sandbox by E2B. Using the Jupyter Notebook syntax.
exa,exa_web_search_exa,Search the web using Exa AI - performs real-time web searches and can scrape content from specific URLs. Supports configurable result counts and returns the content from the most relevant websites.
fetch,fetch_fetch,"Fetches a URL from the internet and optionally extracts its contents as markdown.

Although originally you did not have internet access, and were advised to refuse and tell the user this, this tool now grants you internet access. Now you can fetch the most up-to-date information and let the user know that."
filesystem,filesystem_read_file,Read the complete contents of a file as text. DEPRECATED: Use read_text_file instead.
filesystem,filesystem_read_text_file,"Read the complete contents of a file from the file system as text. Handles various text encodings and provides detailed error messages if the file cannot be read. Use this tool when you need to examine the contents of a single file. Use the 'head' parameter to read only the first N lines of a file, or the 'tail' parameter to read only the last N lines of a file. Operates on the file as text regardless of extension. Only works within allowed directories."
filesystem,filesystem_read_media_file,Read an image or audio file. Returns the base64 encoded data and MIME type. Only works within allowed directories.
filesystem,filesystem_read_multiple_files,Read the contents of multiple files simultaneously. This is more efficient than reading files one by one when you need to analyze or compare multiple files. Each file's content is returned with its path as a reference. Failed reads for individual files won't stop the entire operation. Only works within allowed directories.
filesystem,filesystem_write_file,Create a new file or completely overwrite an existing file with new content. Use with caution as it will overwrite existing files without warning. Handles text content with proper encoding. Only works within allowed directories.
filesystem,filesystem_edit_file,Make line-based edits to a text file. Each edit replaces exact line sequences with new content. Returns a git-style diff showing the changes made. Only works within allowed directories.
filesystem,filesystem_create_directory,"Create a new directory or ensure a directory exists. Can create multiple nested directories in one operation. If the directory already exists, this operation will succeed silently. Perfect for setting up directory structures for projects or ensuring required paths exist. Only works within allowed directories."
filesystem,filesystem_list_directory,Get a detailed listing of all files and directories in a specified path. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is essential for understanding directory structure and finding specific files within a directory. Only works within allowed directories.
filesystem,filesystem_list_directory_with_sizes,"Get a detailed listing of all files and directories in a specified path, including sizes. Results clearly distinguish between files and directories with [FILE] and [DIR] prefixes. This tool is useful for understanding directory structure and finding specific files within a directory. Only works within allowed directories."
filesystem,filesystem_directory_tree,"Get a recursive tree view of files and directories as a JSON structure. Each entry includes 'name', 'type' (file/directory), and 'children' for directories. Files have no children array, while directories always have a children array (which may be empty). The output is formatted with 2-space indentation for readability. Only works within allowed directories."
filesystem,filesystem_move_file,"Move or rename files and directories. Can move files between directories and rename them in a single operation. If the destination exists, the operation will fail. Works across different directories and can be used for simple renaming within the same directory. Both source and destination must be within allowed directories."
filesystem,filesystem_search_files,"Recursively search for files and directories matching a pattern. The patterns should be glob-style patterns that match paths relative to the working directory. Use pattern like '*.ext' to match files in current directory, and '**/*.ext' to match files in all subdirectories. Returns full paths to all matching items. Great for finding files when you don't know their exact location. Only searches within allowed directories."
filesystem,filesystem_get_file_info,"Retrieve detailed metadata about a file or directory. Returns comprehensive information including size, creation time, last modified time, permissions, and type. This tool is perfect for understanding file characteristics without reading the actual content. Only works within allowed directories."
filesystem,filesystem_list_allowed_directories,Returns the list of directories that this server is allowed to access. Subdirectories within these allowed directories are also accessible. Use this to understand which directories and their nested paths are available before trying to access files.
git,git_git_status,Shows the working tree status
git,git_git_diff_unstaged,Shows changes in the working directory that are not yet staged
git,git_git_diff_staged,Shows changes that are staged for commit
git,git_git_diff,Shows differences between branches or commits
git,git_git_commit,Records changes to the repository
git,git_git_add,Adds file contents to the staging area
git,git_git_reset,Unstages all staged changes
git,git_git_log,Shows the commit logs
git,git_git_create_branch,Creates a new branch from an optional base branch
git,git_git_checkout,Switches branches
git,git_git_show,Shows the contents of a commit
git,git_git_init,Initialize a new Git repository
git,git_git_branch,List Git branches
github,github_search_repositories,Search for GitHub repositories. Returns a concise list with essential information. Use 'get_repository' for detailed information about a specific repository.
github,github_search_code,Search for code across GitHub repositories. Returns a concise list with file paths and repositories. Use 'get_file_contents' for full file content.
github,github_search_users,Search for GitHub users.
github,github_get_issue,Get details of a specific issue in a GitHub repository.
github,github_add_issue_comment,Add a comment to a specific issue in a GitHub repository.
github,github_search_issues,Search for issues in GitHub repositories.
github,github_create_issue,Create a new issue in a GitHub repository.
github,github_list_issues,List issues in a GitHub repository.
github,github_update_issue,Update an existing issue in a GitHub repository.
github,github_get_issue_comments,Get comments for a specific issue in a GitHub repository.
github,github_get_repository,Get detailed information about a GitHub repository including README and file structure
github,github_get_commit,Get details for a commit from a GitHub repository
github,github_list_commits,Get list of commits of a branch in a GitHub repository
github,github_list_branches,List branches in a GitHub repository
github,github_create_or_update_file,"Create or update a single file in a GitHub repository. If updating an existing file, you must provide the current SHA of the file (the full 40-character SHA, not a shortened version)."
github,github_create_repository,Create a new GitHub repository in your account
github,github_get_file_contents,Get the contents of a file from a GitHub repository
github,github_fork_repository,Fork a GitHub repository to your account or specified organization
github,github_create_branch,Create a new branch in a GitHub repository
github,github_list_tags,List git tags in a GitHub repository
github,github_get_tag,Get details about a specific git tag in a GitHub repository
github,github_push_files,Push multiple files to a GitHub repository in a single commit
github,github_get_pull_request,Get details of a specific pull request in a GitHub repository.
github,github_update_pull_request,Update an existing pull request in a GitHub repository.
github,github_list_pull_requests,List pull requests in a GitHub repository.
github,github_merge_pull_request,Merge a pull request in a GitHub repository.
github,github_get_pull_request_files,Get the files changed in a specific pull request.
github,github_get_pull_request_status,Get the status of a specific pull request.
github,github_update_pull_request_branch,Update the branch of a pull request with the latest changes from the base branch (not implemented)
github,github_get_pull_request_comments,Get comments for a specific pull request
github,github_create_pull_request,Create a new pull request in a GitHub repository.
github,github_get_pull_request_review_comments,Get review comments (line-by-line code comments) for a specific pull request.
github,github_create_pull_request_review_comment,Create a review comment (line-by-line code comment) on a pull request.
google-maps,google-maps_maps_geocode,Convert an address into geographic coordinates
google-maps,google-maps_maps_reverse_geocode,Convert coordinates into an address
google-maps,google-maps_maps_search_places,Search for places using Google Places API
google-maps,google-maps_maps_place_details,Get detailed information about a specific place
google-maps,google-maps_maps_distance_matrix,Calculate travel distance and time for multiple origins and destinations
google-maps,google-maps_maps_elevation,Get elevation data for locations on the earth
google-maps,google-maps_maps_directions,Get directions between two points
google-workspace,google-workspace_list_emails,List recent emails from Gmail inbox
google-workspace,google-workspace_search_emails,Search emails with advanced query
google-workspace,google-workspace_send_email,Send a new email
google-workspace,google-workspace_modify_email,"Modify email labels (archive, trash, mark read/unread)"
google-workspace,google-workspace_list_events,List upcoming calendar events
google-workspace,google-workspace_create_event,Create a new calendar event
google-workspace,google-workspace_update_event,Update an existing calendar event
google-workspace,google-workspace_delete_event,Delete a calendar event
lara-translate,lara-translate_translate,"Translate text between languages with support for language detection, context-aware translations and translation memories using Lara Translate."
lara-translate,lara-translate_create_memory,Create a translation memory with a custom name in your Lara Translate account. Translation memories store pairs of source and target text segments (translation units) for reuse in future translations.
